SAMPLE,TAXON_NAME,TAXON_GROUP,GENUS,SPECIES,COUNTS,SAMPVOL_L
93-14,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,2,1
93-14,Tripos pentagonus,Dinoflagellate,Tripos (Ceratium),pentagonus,1,1
93-14,Tripos fusus/extensus,Dinoflagellate,Tripos (Amphiceratium),fusus/extensus,1,1
93-14,Chaetoceros curvatus,Centric diatom,Chaetoceros,curvatus,1,1
93-14,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,2,1
93-14,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,2,1
93-14,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,4,1
93-14,Centric diatom,Centric diatom,(null),(null),1,1
93-14,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,1,1
93-14,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,18,1
93-14,Trichotoxon reinboldii,Pennate diatom,Trichotoxon,reinboldii,2,1
93-14,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,3,1
93-14,Proboscia truncata,Centric diatom,Proboscia,truncata,1,1
93-15,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,1,1
93-15,Coscinodiscus spp. > 80 µm,Centric diatom,Coscinodiscus,spp.,1,1
93-15,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,10,1
93-15,Tripos pentagonus,Dinoflagellate,Tripos (Ceratium),pentagonus,2,1
93-15,Tripos fusus/extensus,Dinoflagellate,Tripos (Amphiceratium),fusus/extensus,3,1
93-15,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,2,1
93-15,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,1,1
93-15,Corethron inerme,Centric diatom,Corethron,inerme,1,1
93-15,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,4,1
93-15,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,2,1
93-15,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,17,1
93-15,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,1,1
93-15,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,2,1
93-15,Proboscia alata,Centric diatom,Proboscia,alata,1,1
93-15,Proboscia inermis,Centric diatom,Proboscia,inermis,1,1
93-16,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,1,1
93-16,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,1,1
93-16,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,1,1
93-16,Tripos pentagonus,Dinoflagellate,Tripos (Ceratium),pentagonus,1,1
93-16,Tripos fusus/extensus,Dinoflagellate,Tripos (Amphiceratium),fusus/extensus,1,1
93-16,Chaetoceros atlanticus,Centric diatom,Chaetoceros (Phaeoceros),atlanticus,1,1
93-16,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,3,1
93-16,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,4,1
93-16,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,9,1
93-16,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,1,1
93-16,Proboscia truncata,Centric diatom,Proboscia,truncata,1,1
93-17,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,1,1
93-17,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,1,1
93-17,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,3,1
93-17,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,7,1
93-17,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,1,1
93-17,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,2,1
93-17,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,10,1
93-17,Trichotoxon reinboldii,Pennate diatom,Trichotoxon,reinboldii,1,1
93-17,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,2,1
93-18,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,1,1
93-18,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,2,1
93-18,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,3,1
93-18,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,3,1
93-18,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,2,1
93-18,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,14,1
93-18,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,2,1
93-19,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,1,1
93-19,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,1,1
93-19,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,2,1
93-19,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,6,1
93-19,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,1,1
93-19,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,16,1
93-19,Trichotoxon reinboldii,Pennate diatom,Trichotoxon,reinboldii,1,1
93-19,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,1,1
93-19,Proboscia truncata,Centric diatom,Proboscia,truncata,1,1
93-20,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,3,1
93-20,Tripos pentagonus,Dinoflagellate,Tripos (Ceratium),pentagonus,1,1
93-20,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,5,1
93-20,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,2,1
93-20,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,7,1
93-20,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,2,1
93-20,Proboscia truncata,Centric diatom,Proboscia,truncata,1,1
93-21,Chaetoceros atlanticus,Centric diatom,Chaetoceros (Phaeoceros),atlanticus,1,1
93-21,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,6,1
93-21,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,1,1
93-21,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,2,1
93-21,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,7,1
93-22,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,1,1
93-22,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,1,1
93-22,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,1,1
93-22,Chaetoceros atlanticus,Centric diatom,Chaetoceros (Phaeoceros),atlanticus,1,1
93-22,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,8,1
93-22,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,2,1
93-22,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,2,1
93-22,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,3,1
93-22,Trichotoxon reinboldii,Pennate diatom,Trichotoxon,reinboldii,1,1
93-22,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,1,1
93-22,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,2,1
93-22,Proboscia alata,Centric diatom,Proboscia,alata,1,1
93-22,Proboscia inermis,Centric diatom,Proboscia,inermis,1,1
93-23,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,1,1
93-23,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,3,1
93-23,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,1,1
93-23,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,2,1
93-23,Dictyocha fibula,Silicoflagellate,Dictyocha,fibula,1,1
93-23,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,5,1
93-23,Proboscia alata,Centric diatom,Proboscia,alata,1,1
93-24,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,1,1
93-24,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,3,1
93-24,Dictyocha fibula,Silicoflagellate,Dictyocha,fibula,1,1
93-24,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,6,1
93-24,Trichotoxon reinboldii,Pennate diatom,Trichotoxon,reinboldii,1,1
93-24,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,1,1
93-25,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,1,1
93-25,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,2,1
93-25,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,1,1
93-25,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,1,1
93-25,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,4,1
93-25,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,8,1
93-25,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,1,1
93-25,Proboscia truncata,Centric diatom,Proboscia,truncata,2,1
93-26,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,2,1
93-26,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,8,1
93-26,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,1,1
93-26,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,5,1
93-26,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,4,1
93-26,Proboscia alata,Centric diatom,Proboscia,alata,3,1
93-27,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,1,1
93-27,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,3,1
93-27,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,4,1
93-27,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,3,1
93-27,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,1,1
93-27,Proboscia alata,Centric diatom,Proboscia,alata,2,1
93-28,Asteromphalus hookeri,Centric diatom,Asteromphalus,hookeri,1,1
93-28,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,5,1
93-28,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,1,1
93-28,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,3,1
93-28,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,5,1
93-28,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,2,1
93-28,Proboscia alata,Centric diatom,Proboscia,alata,4,1
93-28,Proboscia inermis,Centric diatom,Proboscia,inermis,1,1
93-29,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,4,1
93-29,Amphidinium hadai,Dinoflagellate,Amphidinium,hadai,1,1
93-29,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,7,1
93-29,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,3,1
93-29,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,4,1
93-29,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,7,1
93-29,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,1,1
93-29,Proboscia alata,Centric diatom,Proboscia,alata,4,1
93-29,Proboscia inermis,Centric diatom,Proboscia,inermis,1,1
93-30,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,2,1
93-30,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,2,1
93-30,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,4,1
93-30,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,2,1
93-30,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,5,1
93-30,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,2,1
93-30,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,1,1
93-30,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,1,1
93-30,Proboscia alata,Centric diatom,Proboscia,alata,3,1
93-30,Proboscia truncata,Centric diatom,Proboscia,truncata,2,1
93-31,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,3,1
93-31,Tripos pentagonus,Dinoflagellate,Tripos (Ceratium),pentagonus,1,1
93-31,Chaetoceros atlanticus,Centric diatom,Chaetoceros (Phaeoceros),atlanticus,1,1
93-31,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,7,1
93-31,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,2,1
93-31,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,4,1
93-31,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,1,1
93-31,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,4,1
93-31,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,3,1
93-31,Proboscia alata,Centric diatom,Proboscia,alata,1,1
93-31,Proboscia inermis,Centric diatom,Proboscia,inermis,2,1
93-31,Rhizosolenia simplex,Centric diatom,Rhizosolenia,simplex,1,1
93-32,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,3,1
93-32,Chaetoceros atlanticus,Centric diatom,Chaetoceros (Phaeoceros),atlanticus,1,1
93-32,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,2,1
93-32,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,7,1
93-32,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,1,1
93-32,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,5,1
93-32,Proboscia alata,Centric diatom,Proboscia,alata,5,1
93-32,Proboscia inermis,Centric diatom,Proboscia,inermis,3,1
93-32,Rhizosolenia simplex,Centric diatom,Rhizosolenia,simplex,1,1
93-33,Protoperidinium spp.,Dinoflagellate,Protoperidinium,spp.,1,1
93-33,Silicoflagellate,Silicoflagellate,Dictyocha,spp.,1,1
93-33,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,6,1
93-33,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,5,1
93-33,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,8,1
93-33,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,8,1
93-33,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,5,1
93-33,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,1,1
93-33,Proboscia alata,Centric diatom,Proboscia,alata,2,1
93-33,Proboscia inermis,Centric diatom,Proboscia,inermis,5,1
93-33,Rhizosolenia simplex,Centric diatom,Rhizosolenia,simplex,2,1
93-34,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,1,1
93-34,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,3,1
93-34,Tripos pentagonus,Dinoflagellate,Tripos (Ceratium),pentagonus,1,1
93-34,Chaetoceros atlanticus,Centric diatom,Chaetoceros (Phaeoceros),atlanticus,1,1
93-34,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,1,1
93-34,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,3,1
93-34,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,1,1
93-34,Dictyocha fibula,Silicoflagellate,Dictyocha,fibula,1,1
93-34,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,5,1
93-34,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,2,1
93-34,Proboscia alata,Centric diatom,Proboscia,alata,3,1
93-34,Proboscia inermis,Centric diatom,Proboscia,inermis,3,1
93-35,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,1,1
93-35,Nitzschia spp.,Pennate diatom,Nitzschia,spp.,1,1
93-35,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,2,1
93-35,Tripos pentagonus,Dinoflagellate,Tripos (Ceratium),pentagonus,1,1
93-35,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,2,1
93-35,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,2,1
93-35,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,3,1
93-35,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,6,1
93-35,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,1,1
93-35,Proboscia alata,Centric diatom,Proboscia,alata,1,1
93-35,Proboscia inermis,Centric diatom,Proboscia,inermis,1,1
93-35,Rhizosolenia simplex,Centric diatom,Rhizosolenia,simplex,1,1
93-36,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,5,1
93-36,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,2,1
93-36,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,1,1
93-36,Proboscia inermis,Centric diatom,Proboscia,inermis,1,1
93-38,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,1,1
93-38,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,3,1
93-38,Amphidinium hadai,Dinoflagellate,Amphidinium,hadai,1,1
93-38,Chaetoceros atlanticus,Centric diatom,Chaetoceros (Phaeoceros),atlanticus,1,1
93-38,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,5,1
93-38,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,3,1
93-38,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,4,1
93-38,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,7,1
93-38,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,1,1
93-38,Proboscia inermis,Centric diatom,Proboscia,inermis,1,1
93-39,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,3,1
93-39,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,1,1
93-39,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,5,1
93-39,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,3,1
93-39,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,6,1
93-39,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,5,1
93-39,Fragilariopsis curta,Pennate diatom,Fragilariopsis,curta,1,1
93-39,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,1,1
93-39,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,1,1
93-39,Proboscia alata,Centric diatom,Proboscia,alata,2,1
93-40,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,1,1
93-40,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,2,1
93-40,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,3,1
93-40,Tripos fusus/extensus,Dinoflagellate,Tripos (Amphiceratium),fusus/extensus,1,1
93-40,Chaetoceros atlanticus,Centric diatom,Chaetoceros (Phaeoceros),atlanticus,1,1
93-40,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,4,1
93-40,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,2,1
93-40,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,6,1
93-40,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,6,1
93-40,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,1,1
93-40,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,2,1
93-40,Proboscia alata,Centric diatom,Proboscia,alata,1,1
93-41,Nitzschia spp.,Pennate diatom,Nitzschia,spp.,1,1
93-41,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,4,1
93-41,Tripos pentagonus,Dinoflagellate,Tripos (Ceratium),pentagonus,1,1
93-41,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,4,1
93-41,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,4,1
93-41,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,2,1
93-41,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,1,1
93-41,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,1,1
93-41,Proboscia alata,Centric diatom,Proboscia,alata,3,1
93-41,Proboscia inermis,Centric diatom,Proboscia,inermis,1,1
93-42,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,1,1
93-42,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,1,1
93-42,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,6,1
93-42,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,3,1
93-42,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,4,1
93-42,Trichotoxon reinboldii,Pennate diatom,Trichotoxon,reinboldii,2,1
93-42,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,2,1
93-42,Proboscia alata,Centric diatom,Proboscia,alata,1,1
93-42,Proboscia inermis,Centric diatom,Proboscia,inermis,1,1
93-43,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,2,1
93-43,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,3,1
93-43,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,4,1
93-43,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,2,1
93-43,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,4,1
93-43,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,5,1
93-43,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,1,1
93-44,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,2,1
93-44,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,1,1
93-44,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,1,1
93-44,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,7,1
93-44,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,2,1
93-44,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,4,1
93-44,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,4,1
93-44,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,2,1
93-44,Nitzschia longissima,Pennate diatom,Nitzschia,longissima,1,1
93-45,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,3,1
93-45,Tripos pentagonus,Dinoflagellate,Tripos (Ceratium),pentagonus,2,1
93-45,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,3,1
93-45,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,2,1
93-45,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,4,1
93-45,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,1,1
93-45,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,1,1
93-45,Proboscia inermis,Centric diatom,Proboscia,inermis,1,1
93-46,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,1,1
93-46,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,1,1
93-46,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,8,1
93-46,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,1,1
93-46,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,1,1
93-46,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,5,1
93-46,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,3,1
93-47,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,2,1
93-47,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,3,1
93-47,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,7,1
93-47,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,5,1
93-47,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,4,1
93-47,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,7,1
93-47,Trichotoxon reinboldii,Pennate diatom,Trichotoxon,reinboldii,1,1
93-47,Proboscia alata,Centric diatom,Proboscia,alata,1,1
93-48,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,1,1
93-48,Nitzschia spp.,Pennate diatom,Nitzschia,spp.,1,1
93-48,Amphidinium hadai,Dinoflagellate,Amphidinium,hadai,1,1
93-48,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,3,1
93-48,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,3,1
93-48,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,9,1
93-48,Trichotoxon reinboldii,Pennate diatom,Trichotoxon,reinboldii,1,1
93-48,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,3,1
93-48,Proboscia alata,Centric diatom,Proboscia,alata,1,1
93-48,Rhizosolenia simplex,Centric diatom,Rhizosolenia,simplex,1,1
93-49,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,1,1
93-49,Tripos pentagonus,Dinoflagellate,Tripos (Ceratium),pentagonus,1,1
93-49,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,1,1
93-49,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,4,1
93-49,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,6,1
93-49,Proboscia alata,Centric diatom,Proboscia,alata,3,1
93-50,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,1,1
93-50,Nitzschia spp.,Pennate diatom,Nitzschia,spp.,1,1
93-50,Phaeocystis spp. (colony),Flagellate,Phaeocystis,spp.,1,1
