SAMPLE,TAXON_NAME,TAXON_GROUP,TAXON_GRP01,GENUS,SPECIES,TAXON_PER_M3
428,Echinoderm larvae,NON-COPEPOD,Echinoderm,(null),(null),462.4416
387,Echinoderm larvae,NON-COPEPOD,Echinoderm,(null),(null),3.9292
400,Echinoderm larvae,NON-COPEPOD,Echinoderm,(null),(null),7.0726
454,Echinoderm larvae,NON-COPEPOD,Echinoderm,(null),(null),1.0104
485,Echinoderm larvae,NON-COPEPOD,Echinoderm,(null),(null),2.3575
478,Echinoderm larvae,NON-COPEPOD,Echinoderm,(null),(null),3.6457
522,Echinoderm larvae,NON-COPEPOD,Echinoderm,(null),(null),13.6012
472,Echinoderm larvae,NON-COPEPOD,Echinoderm,(null),(null),47.6043
667,Echinoderm larvae,NON-COPEPOD,Echinoderm,(null),(null),3.5363
708,Echinoderm larvae,NON-COPEPOD,Echinoderm,(null),(null),13.6012
744,Echinoderm larvae,NON-COPEPOD,Echinoderm,(null),(null),13.6012
828,Echinoderm larvae,NON-COPEPOD,Echinoderm,(null),(null),15.3753
995,Echinoderm larvae,NON-COPEPOD,Echinoderm,(null),(null),8.8408
291,Egg,NON-COPEPOD,Egg,(null),(null),33.7558
292,Egg,NON-COPEPOD,Egg,(null),(null),51.4374
177,Egg,NON-COPEPOD,Egg,(null),(null),22.102
22,Egg,NON-COPEPOD,Egg,(null),(null),3.7131
81,Egg,NON-COPEPOD,Egg,(null),(null),14.1453
153,Egg,NON-COPEPOD,Egg,(null),(null),6.3149
171,Egg,NON-COPEPOD,Egg,(null),(null),2.1432
9,Egg,NON-COPEPOD,Egg,(null),(null),22.6687
91,Egg,NON-COPEPOD,Egg,(null),(null),1.7682
141,Egg,NON-COPEPOD,Egg,(null),(null),128.3552
129,Egg,NON-COPEPOD,Egg,(null),(null),259.33
283,Egg,NON-COPEPOD,Egg,(null),(null),4.8624
389,Egg,NON-COPEPOD,Egg,(null),(null),7.8585
479,Egg,NON-COPEPOD,Egg,(null),(null),1.551
683,Egg,NON-COPEPOD,Egg,(null),(null),4.2436
699,Egg,NON-COPEPOD,Egg,(null),(null),7.8585
701,Egg,NON-COPEPOD,Egg,(null),(null),7.8585
90,Egg mass,NON-COPEPOD,Egg,(null),(null),66.7971
112,Egg mass,NON-COPEPOD,Egg,(null),(null),77.799
150,Egg mass,NON-COPEPOD,Egg,(null),(null),2.2102
381,Egg mass,NON-COPEPOD,Egg,(null),(null),1.7682
357,Egg mass,NON-COPEPOD,Egg,(null),(null),11.3162
434,Egg mass,NON-COPEPOD,Egg,(null),(null),117.8773
541,Egg mass,NON-COPEPOD,Egg,(null),(null),2.3575
998,Evadne nordmanni,NON-COPEPOD,Cladoceran,Evadne,nordmanni,3.5363
83,Evadne spinifera,NON-COPEPOD,Cladoceran,Evadne,spinifera,21.2179
84,Evadne spinifera,NON-COPEPOD,Cladoceran,Evadne,spinifera,2.6195
129,Evadne spinifera,NON-COPEPOD,Cladoceran,Evadne,spinifera,15.717
491,Evadne spinifera,NON-COPEPOD,Cladoceran,Evadne,spinifera,15.717
476,Evadne spinifera,NON-COPEPOD,Cladoceran,Evadne,spinifera,31.8269
464,Evadne spinifera,NON-COPEPOD,Cladoceran,Evadne,spinifera,110.0188
547,Evadne spinifera,NON-COPEPOD,Cladoceran,Evadne,spinifera,3.5363
1017,Evadne spinifera,NON-COPEPOD,Cladoceran,Evadne,spinifera,7.8585
49,Nauplii euphausiid,NON-COPEPOD,Euphausiid,(null),(null),1.4735
96,Nauplii euphausiid,NON-COPEPOD,Euphausiid,(null),(null),13.8927
778,Nauplii euphausiid,NON-COPEPOD,Euphausiid,(null),(null),15.717
47,Euphausiid calyptope,NON-COPEPOD,Euphausiid,(null),(null),3.0311
37,Euphausiid calyptope,NON-COPEPOD,Euphausiid,(null),(null),4.4204
96,Euphausiid calyptope,NON-COPEPOD,Euphausiid,(null),(null),2.5259
75,Euphausiid calyptope,NON-COPEPOD,Euphausiid,(null),(null),1.263
365,Euphausiid calyptope,NON-COPEPOD,Euphausiid,(null),(null),7.0726
416,Euphausiid calyptope,NON-COPEPOD,Euphausiid,(null),(null),4.2864
399,Euphausiid calyptope,NON-COPEPOD,Euphausiid,(null),(null),36.741
754,Euphausiid calyptope,NON-COPEPOD,Euphausiid,(null),(null),80.1565
806,Euphausiid calyptope,NON-COPEPOD,Euphausiid,(null),(null),9.4302
803,Euphausiid calyptope,NON-COPEPOD,Euphausiid,(null),(null),0.943
1001,Euphausiid calyptope,NON-COPEPOD,Euphausiid,(null),(null),14.1453
1064,Euphausiid calyptope,NON-COPEPOD,Euphausiid,(null),(null),18.8604
5,Euphausiid furcilia larvae,NON-COPEPOD,Euphausiid,(null),(null),3.2148
140,Euphausiid furcilia larvae,NON-COPEPOD,Euphausiid,(null),(null),7.8585
283,Euphausiid furcilia larvae,NON-COPEPOD,Euphausiid,(null),(null),0.442
493,Euphausiid furcilia larvae,NON-COPEPOD,Euphausiid,(null),(null),0.4715
627,Euphausiid furcilia larvae,NON-COPEPOD,Euphausiid,(null),(null),1.5717
835,Euphausiid furcilia larvae,NON-COPEPOD,Euphausiid,(null),(null),4.7151
1001,Euphausiid furcilia larvae,NON-COPEPOD,Euphausiid,(null),(null),4.7151
1012,Euphausiid furcilia larvae,NON-COPEPOD,Euphausiid,(null),(null),3.5363
80,Euphausiid adult,NON-COPEPOD,Euphausiid,(null),(null),1.0104
188,Euphausiid adult,NON-COPEPOD,Euphausiid,(null),(null),5.8939
91,Euphausiid adult,NON-COPEPOD,Euphausiid,(null),(null),6.1886
24,Euphausiid adult,NON-COPEPOD,Euphausiid,(null),(null),14.1453
357,Euphausiid adult,NON-COPEPOD,Euphausiid,(null),(null),5.6581
425,Euphausiid adult,NON-COPEPOD,Euphausiid,(null),(null),13.6012
293,Fish egg,NON-COPEPOD,Fish,(null),(null),12.8593
139,Fish egg,NON-COPEPOD,Fish,(null),(null),6.8006
183,Fish egg,NON-COPEPOD,Fish,(null),(null),45.9721
113,Fish egg,NON-COPEPOD,Fish,(null),(null),7.0726
148,Fish egg,NON-COPEPOD,Fish,(null),(null),6.8006
207,Fish egg,NON-COPEPOD,Fish,(null),(null),80.3709
546,Fish egg,NON-COPEPOD,Fish,(null),(null),633.0009
547,Fish egg,NON-COPEPOD,Fish,(null),(null),3.5363
666,Fish egg,NON-COPEPOD,Fish,(null),(null),7.0726
983,Fish egg,NON-COPEPOD,Fish,(null),(null),3.5363
295,Fish larvae,NON-COPEPOD,Fish,(null),(null),6.4297
100,Fish larvae,NON-COPEPOD,Fish,(null),(null),3.8861
428,Fish larvae,NON-COPEPOD,Fish,(null),(null),13.6012
621,Fish larvae,NON-COPEPOD,Fish,(null),(null),6.8006
620,Fish larvae,NON-COPEPOD,Fish,(null),(null),6.8006
671,Fish larvae,NON-COPEPOD,Fish,(null),(null),3.9292
816,Fish larvae,NON-COPEPOD,Fish,(null),(null),6.4297
848,Fish larvae,NON-COPEPOD,Fish,(null),(null),15.717
974,Fish larvae,NON-COPEPOD,Fish,(null),(null),5.1437
990,Fish larvae,NON-COPEPOD,Fish,(null),(null),7.0726
1013,Fish larvae,NON-COPEPOD,Fish,(null),(null),3.5363
11,Fish j,NON-COPEPOD,Fish,(null),(null),1.4145
165,Fish j,NON-COPEPOD,Fish,(null),(null),0.063
67,Fish j,NON-COPEPOD,Fish,(null),(null),0.5052
878,Fish j,NON-COPEPOD,Fish,(null),(null),4.4204
916,Fish j,NON-COPEPOD,Fish,(null),(null),0.2549
284,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),38.578
288,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),19.289
291,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),11.2519
49,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),13.2612
184,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),17.1458
99,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),3.627
18,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),9.0675
298,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),32.1483
308,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),24.0637
440,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),31.4339
372,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),258.4232
387,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),7.8585
417,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),19.289
482,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),7.8585
488,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),10.609
490,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),13.0975
517,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),1.7682
527,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),231.2208
472,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),61.2055
558,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),47.1509
537,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),109.3044
643,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),247.5423
627,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),22.0038
727,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),25.7187
729,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),38.8995
680,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),199.3197
710,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),6.4297
783,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),42.4358
768,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),20.8019
815,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),45.0077
833,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),454.6695
865,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),14.1453
868,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),45.0077
854,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),37.2244
850,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),28.2905
856,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),70.7264
862,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),15.717
916,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),6.8815
888,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),7.0726
1079,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),44.204
1084,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),973.8476
1085,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),125.1313
992,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),106.0895
987,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),173.6011
1046,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),77.156
1077,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),221.0199
292,Gastropod,NON-COPEPOD,Mollusc,(null),(null),189.6752
33,Gastropod,NON-COPEPOD,Mollusc,(null),(null),23.5755
67,Gastropod,NON-COPEPOD,Mollusc,(null),(null),0.3789
35,Gastropod,NON-COPEPOD,Mollusc,(null),(null),0.0982
364,Gastropod,NON-COPEPOD,Mollusc,(null),(null),19.6462
628,Gastropod,NON-COPEPOD,Mollusc,(null),(null),10.881
673,Gastropod,NON-COPEPOD,Mollusc,(null),(null),6.4297
784,Gastropod,NON-COPEPOD,Mollusc,(null),(null),28.2905
814,Gastropod,NON-COPEPOD,Mollusc,(null),(null),12.8593
899,Gastropod,NON-COPEPOD,Mollusc,(null),(null),12.8593
893,Gastropod,NON-COPEPOD,Mollusc,(null),(null),20.8019
993,Gastropod,NON-COPEPOD,Mollusc,(null),(null),53.0448
165,Gastropod veliger,NON-COPEPOD,Mollusc,(null),(null),0.1261
144,Gastropod veliger,NON-COPEPOD,Mollusc,(null),(null),62.8679
801,Gastropod veliger,NON-COPEPOD,Mollusc,(null),(null),1654.9968
865,Gastropod veliger,NON-COPEPOD,Mollusc,(null),(null),28.2905
989,Gastropod veliger,NON-COPEPOD,Mollusc,(null),(null),17.6816
1016,Gastropod veliger,NON-COPEPOD,Mollusc,(null),(null),7.8585
174,Hydromedusae,NON-COPEPOD,Cnidarian,(null),(null),8.8408
132,Insect terrestrial,NON-COPEPOD,Other,(null),(null),3.2148
14,Insect terrestrial,NON-COPEPOD,Other,(null),(null),2.7202
157,Isopod,NON-COPEPOD,Isopod,(null),(null),5.4405
128,Isopod,NON-COPEPOD,Isopod,(null),(null),3.1434
45,Isopod,NON-COPEPOD,Isopod,(null),(null),13.6012
296,Isopod,NON-COPEPOD,Isopod,(null),(null),3.2148
57,Isopod,NON-COPEPOD,Isopod,(null),(null),7.8585
156,Isopod,NON-COPEPOD,Isopod,(null),(null),2.2102
418,Isopod,NON-COPEPOD,Isopod,(null),(null),10.2502
384,Isopod,NON-COPEPOD,Isopod,(null),(null),7.8585
492,Isopod,NON-COPEPOD,Isopod,(null),(null),6.4297
524,Isopod,NON-COPEPOD,Isopod,(null),(null),5.4405
734,Isopod,NON-COPEPOD,Isopod,(null),(null),6.4297
699,Isopod,NON-COPEPOD,Isopod,(null),(null),15.717
670,Isopod,NON-COPEPOD,Isopod,(null),(null),7.8585
750,Isopod,NON-COPEPOD,Isopod,(null),(null),6.4297
819,Isopod,NON-COPEPOD,Isopod,(null),(null),4.7151
825,Isopod,NON-COPEPOD,Isopod,(null),(null),7.8585
994,Isopod,NON-COPEPOD,Isopod,(null),(null),17.6816
1064,Isopod,NON-COPEPOD,Isopod,(null),(null),2.3575
291,Medusa,NON-COPEPOD,Cnidarian,(null),(null),3.2148
38,Medusa,NON-COPEPOD,Cnidarian,(null),(null),3.2148
136,Medusa,NON-COPEPOD,Cnidarian,(null),(null),1.7682
12,Medusa,NON-COPEPOD,Cnidarian,(null),(null),0.0707
303,Medusa,NON-COPEPOD,Cnidarian,(null),(null),17.6816
139,Medusa,NON-COPEPOD,Cnidarian,(null),(null),6.8006
87,Medusa,NON-COPEPOD,Cnidarian,(null),(null),25.7187
187,Medusa,NON-COPEPOD,Cnidarian,(null),(null),12.8593
167,Medusa,NON-COPEPOD,Cnidarian,(null),(null),6.4297
71,Medusa,NON-COPEPOD,Cnidarian,(null),(null),5.239
56,Medusa,NON-COPEPOD,Cnidarian,(null),(null),7.8585
57,Medusa,NON-COPEPOD,Cnidarian,(null),(null),7.8585
8,Medusa,NON-COPEPOD,Cnidarian,(null),(null),5.6581
302,Medusa,NON-COPEPOD,Cnidarian,(null),(null),12.8593
387,Medusa,NON-COPEPOD,Cnidarian,(null),(null),3.9292
499,Medusa,NON-COPEPOD,Cnidarian,(null),(null),0.221
740,Medusa,NON-COPEPOD,Cnidarian,(null),(null),13.6012
771,Medusa,NON-COPEPOD,Cnidarian,(null),(null),6.4297
773,Medusa,NON-COPEPOD,Cnidarian,(null),(null),7.0726
795,Medusa,NON-COPEPOD,Cnidarian,(null),(null),7.0726
812,Medusa,NON-COPEPOD,Cnidarian,(null),(null),27.2024
837,Medusa,NON-COPEPOD,Cnidarian,(null),(null),27.2024
868,Medusa,NON-COPEPOD,Cnidarian,(null),(null),12.8593
871,Medusa,NON-COPEPOD,Cnidarian,(null),(null),25.7187
1015,Medusa,NON-COPEPOD,Cnidarian,(null),(null),15.717
994,Medusa,NON-COPEPOD,Cnidarian,(null),(null),35.3632
995,Medusa,NON-COPEPOD,Cnidarian,(null),(null),8.8408
1138,Medusa,NON-COPEPOD,Cnidarian,(null),(null),122.5924
133,Megalope,NON-COPEPOD,Decapod,(null),(null),0.8841
34,Noctiluca scintillans,NOCTILUCA,Noctilucaceae,Noctiluca,scintillans,7928.4249
151,Noctiluca scintillans,NOCTILUCA,Noctilucaceae,Noctiluca,scintillans,1409.2227
85,Noctiluca scintillans,NOCTILUCA,Noctilucaceae,Noctiluca,scintillans,14.1453
1,Noctiluca scintillans,NOCTILUCA,Noctilucaceae,Noctiluca,scintillans,860.8408
188,Noctiluca scintillans,NOCTILUCA,Noctilucaceae,Noctiluca,scintillans,14.7347
91,Noctiluca scintillans,NOCTILUCA,Noctilucaceae,Noctiluca,scintillans,147.6413
191,Noctiluca scintillans,NOCTILUCA,Noctilucaceae,Noctiluca,scintillans,1.0609
78,Noctiluca scintillans,NOCTILUCA,Noctilucaceae,Noctiluca,scintillans,212.1791
194,Noctiluca scintillans,NOCTILUCA,Noctilucaceae,Noctiluca,scintillans,17.6816
172,Noctiluca scintillans,NOCTILUCA,Noctilucaceae,Noctiluca,scintillans,43.4462
10,Noctiluca scintillans,NOCTILUCA,Noctilucaceae,Noctiluca,scintillans,3.5363
398,Noctiluca scintillans,NOCTILUCA,Noctilucaceae,Noctiluca,scintillans,106.0895
411,Noctiluca scintillans,NOCTILUCA,Noctilucaceae,Noctiluca,scintillans,1994.4833
501,Noctiluca scintillans,NOCTILUCA,Noctilucaceae,Noctiluca,scintillans,983.7394
513,Noctiluca scintillans,NOCTILUCA,Noctilucaceae,Noctiluca,scintillans,7.0726
650,Noctiluca scintillans,NOCTILUCA,Noctilucaceae,Noctiluca,scintillans,445.5761
642,Noctiluca scintillans,NOCTILUCA,Noctilucaceae,Noctiluca,scintillans,1787.0194
727,Noctiluca scintillans,NOCTILUCA,Noctilucaceae,Noctiluca,scintillans,244.3274
678,Noctiluca scintillans,NOCTILUCA,Noctilucaceae,Noctiluca,scintillans,23.5755
713,Noctiluca scintillans,NOCTILUCA,Noctilucaceae,Noctiluca,scintillans,2272.6737
763,Noctiluca scintillans,NOCTILUCA,Noctilucaceae,Noctiluca,scintillans,35.3632
835,Noctiluca scintillans,NOCTILUCA,Noctilucaceae,Noctiluca,scintillans,598.8165
870,Noctiluca scintillans,NOCTILUCA,Noctilucaceae,Noctiluca,scintillans,64.2967
858,Noctiluca scintillans,NOCTILUCA,Noctilucaceae,Noctiluca,scintillans,17.6816
860,Noctiluca scintillans,NOCTILUCA,Noctilucaceae,Noctiluca,scintillans,1240.0688
872,Noctiluca scintillans,NOCTILUCA,Noctilucaceae,Noctiluca,scintillans,5198.3874
974,Noctiluca scintillans,NOCTILUCA,Noctilucaceae,Noctiluca,scintillans,5.1437
874,Noctiluca scintillans,NOCTILUCA,Noctilucaceae,Noctiluca,scintillans,1354.4098
1082,Noctiluca scintillans,NOCTILUCA,Noctilucaceae,Noctiluca,scintillans,4.7151
1053,Noctiluca scintillans,NOCTILUCA,Noctilucaceae,Noctiluca,scintillans,28.2905
152,Obelia spp.,NON-COPEPOD,Cnidarian,Obelia,spp.,0.7367
138,Obelia spp.,NON-COPEPOD,Cnidarian,Obelia,spp.,7.8585
26,Obelia spp.,NON-COPEPOD,Cnidarian,Obelia,spp.,3.9292
420,Obelia spp.,NON-COPEPOD,Cnidarian,Obelia,spp.,16.0742
522,Obelia spp.,NON-COPEPOD,Cnidarian,Obelia,spp.,27.2024
469,Obelia spp.,NON-COPEPOD,Cnidarian,Obelia,spp.,27.2024
470,Obelia spp.,NON-COPEPOD,Cnidarian,Obelia,spp.,20.4018
544,Obelia spp.,NON-COPEPOD,Cnidarian,Obelia,spp.,3.5363
684,Obelia spp.,NON-COPEPOD,Cnidarian,Obelia,spp.,7.8585
169,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),95.4806
287,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),144.6676
288,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),112.5192
289,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),392.2098
290,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),83.5857
67,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),6.3149
35,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),14.7347
151,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),153.8298
69,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),456.5065
40,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),71.6104
154,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),23.5755
182,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),636.5372
184,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),250.7571
23,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),56.005
171,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),192.8901
85,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),109.6259
9,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),122.411
4,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),69.5476
54,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),176.8159
140,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),306.4809
195,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),96.445
100,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),120.468
25,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),120.2348
57,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),243.613
203,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),1149.3033
306,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),639.2575
207,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),417.9285
283,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),3.0943
301,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),588.9577
373,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),122.411
374,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),442.0397
428,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),761.6685
431,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),21.9252
432,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),68.7056
365,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),2.6522
392,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),30.9428
401,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),54.8129
371,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),774.622
360,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),235.7545
24,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),183.8885
367,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),385.7801
395,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),205.7494
445,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),196.7077
446,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),117.8773
400,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),286.4418
485,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),7.0726
476,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),152.0617
483,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),205.7494
481,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),156.3425
517,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),5.3045
520,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),227.896
470,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),95.2086
732,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),257.1868
560,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),180.3522
546,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),251.0786
629,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),120.1441
655,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),375.3938
656,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),228.5005
665,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),748.0673
627,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),20.4321
630,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),250.2625
682,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),26.5224
698,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),13.3594
707,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),152.0617
710,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),90.0154
712,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),119.449
751,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),88.4079
735,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),30.6481
767,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),147.8824
780,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),1386.2367
762,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),35.3632
795,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),166.2069
802,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),51.4374
804,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),45.0077
797,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),58.3492
822,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),122.6886
817,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),84.8716
809,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),63.6537
825,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),432.2166
839,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),32.0626
864,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),385.0657
863,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),62.8679
898,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),31.8269
902,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),135.0231
975,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),726.5526
982,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),18.8604
1069,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),62.2392
991,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),240.4696
1004,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),205.7494
1015,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),424.3582
35,Ostracod,NON-COPEPOD,Ostracod,(null),(null),0.0982
81,Ostracod,NON-COPEPOD,Ostracod,(null),(null),3.5363
12,Ostracod,NON-COPEPOD,Ostracod,(null),(null),0.0707
40,Ostracod,NON-COPEPOD,Ostracod,(null),(null),0.8841
153,Ostracod,NON-COPEPOD,Ostracod,(null),(null),3.7889
87,Ostracod,NON-COPEPOD,Ostracod,(null),(null),6.4297
171,Ostracod,NON-COPEPOD,Ostracod,(null),(null),8.5729
126,Ostracod,NON-COPEPOD,Ostracod,(null),(null),17.6816
142,Ostracod,NON-COPEPOD,Ostracod,(null),(null),13.6012
98,Ostracod,NON-COPEPOD,Ostracod,(null),(null),12.8593
45,Ostracod,NON-COPEPOD,Ostracod,(null),(null),47.6043
78,Ostracod,NON-COPEPOD,Ostracod,(null),(null),12.8593
63,Ostracod,NON-COPEPOD,Ostracod,(null),(null),3.5363
168,Ostracod,NON-COPEPOD,Ostracod,(null),(null),66.7971
115,Ostracod,NON-COPEPOD,Ostracod,(null),(null),39.2924
18,Ostracod,NON-COPEPOD,Ostracod,(null),(null),3.0225
203,Ostracod,NON-COPEPOD,Ostracod,(null),(null),751.4676
21,Ostracod,NON-COPEPOD,Ostracod,(null),(null),0.7073
309,Ostracod,NON-COPEPOD,Ostracod,(null),(null),66.0631
433,Ostracod,NON-COPEPOD,Ostracod,(null),(null),0.2496
436,Ostracod,NON-COPEPOD,Ostracod,(null),(null),28.2905
439,Ostracod,NON-COPEPOD,Ostracod,(null),(null),3.9292
