SAMPLE,TAXON_NAME,TAXON_GROUP,TAXON_GRP01,GENUS,SPECIES,SPCODE,COUNTS,SAMPVOL_L
739,Globigerinidae,NON-COPEPOD,Foraminifera,(null),(null),111929,2,1.13112
748,Leptothecata,NON-COPEPOD,Cnidarian,(null),(null),13552,1,1.13112
766,Calocalanus plumulosus j,COPEPOD,Copepod,Calocalanus,plumulosus,211848,1,0.622116
766,Oncaea media f,COPEPOD,Copepod,Oncaea,media,128938,1,0.622116
766,Oncaea spp. m 0.4<>0.7mm,COPEPOD,Copepod,Oncaea,spp.,128690,1,0.622116
766,Oncaea spp. m >0.7mm,COPEPOD,Copepod,Oncaea,spp.,128690,1,0.622116
766,Euconchoecia aculeata,NON-COPEPOD,Ostracod,Euconchoecia,aculeata,127784,2,0.622116
765,Nauplii poecilostomatoida / cyclopoid,COPEPOD,Copepod,(null),(null),1103,1,25.4502
775,Ditrichocorycaeus aucklandicus f,COPEPOD,Copepod,Ditrichocorycaeus,aucklandicus,764978,2,0.509004
775,Macrosetella gracilis f,COPEPOD,Copepod,Macrosetella,gracilis,116382,1,0.509004
775,Microsetella rosea f,COPEPOD,Copepod,Microsetella,rosea,116116,2,0.509004
775,Oncaea media f,COPEPOD,Copepod,Oncaea,media,128938,2,0.509004
775,Oncaea spp. j,COPEPOD,Copepod,Oncaea,spp.,128690,7,0.509004
775,Temora spp. j,COPEPOD,Copepod,Temora,spp.,104241,13,0.509004
775,Echinopluteus,NON-COPEPOD,Echinoderm,(null),(null),1806,2,0.509004
775,Hyperiid amphipod,NON-COPEPOD,Amphipod,(null),(null),101796,2,0.509004
769,Clausocalanus spp. j,COPEPOD,Copepod,Clausocalanus,spp.,104161,4,0.56556
769,Microsetella norvegica f,COPEPOD,Copepod,Microsetella,norvegica,116115,13,0.56556
769,Oithona attenuata typical f,COPEPOD,Copepod,Oithona,attenuata typical,220944,5,0.56556
769,Oithona spp. j,COPEPOD,Copepod,Oithona,spp.,106485,22,0.56556
769,Oncaea spp. j,COPEPOD,Copepod,Oncaea,spp.,128690,17,0.56556
769,Oncaea spp. m 0.4<>0.7mm,COPEPOD,Copepod,Oncaea,spp.,128690,7,0.56556
769,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),103356,7,0.56556
756,Acartia (Acanthacartia) fossae f,COPEPOD,Copepod,Acartia (Acanthacartia),fossae,345933,8,0.56556
756,Calocalanus pavo m,COPEPOD,Copepod,Calocalanus,pavo,104669,1,0.56556
756,Calocalanus spp. j,COPEPOD,Copepod,Calocalanus,spp.,104193,5,0.56556
756,Clausocalanus furcatus f,COPEPOD,Copepod,Clausocalanus,furcatus,104503,11,0.56556
756,Nauplii poecilostomatoida / cyclopoid,COPEPOD,Copepod,(null),(null),1103,36,0.56556
756,Doliolum spp.,NON-COPEPOD,Thaliacean,Doliolum,spp.,137222,3,0.56556
756,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),103354,2,0.56556
763,Centropages furcatus f,COPEPOD,Copepod,Centropages,furcatus,104495,1,0.56556
763,Euterpina acutifrons f,COPEPOD,Copepod,Euterpina,acutifrons,116162,4,0.56556
763,Nauplii harpacticoid,COPEPOD,Copepod,(null),(null),1102,1,0.56556
763,Oithona brevicornis f,COPEPOD,Copepod,Oithona,brevicornis,106643,1,0.56556
763,Oithona decipiens/similis f,COPEPOD,Copepod,Oithona,decipiens/similis,106485,4,0.56556
763,Oncaea venusta typica f,COPEPOD,Copepod,Oncaea,venusta typica,363803,2,0.56556
763,Oncaea venusta typica m,COPEPOD,Copepod,Oncaea,venusta typica,363803,1,0.56556
763,Echinoderm larvae,NON-COPEPOD,Echinoderm,(null),(null),1806,1,0.56556
749,Clausocalanus spp. m,COPEPOD,Copepod,Clausocalanus,spp.,104161,1,1.13112
749,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,3,1.13112
749,Oncaea zernovi complex f,COPEPOD,Copepod,Oncaea,zernovi complex,128955,21,1.13112
749,Paracalanus indicus f,COPEPOD,Copepod,Paracalanus,indicus,104683,2,1.13112
749,Triconia spp. m,COPEPOD,Copepod,Triconia,spp.,128691,3,1.13112
749,Cavoliniidae shell,NON-COPEPOD,Mollusc,(null),(null),23000,9,1.13112
762,Ctenocalanus vanus f,COPEPOD,Copepod,Ctenocalanus,vanus,104510,1,0.56556
762,Mecynocera clausi f,COPEPOD,Copepod,Mecynocera,clausi,104616,2,0.56556
762,Oncaea zernovi complex f,COPEPOD,Copepod,Oncaea,zernovi complex,128955,6,0.56556
762,Triconia umerus f,COPEPOD,Copepod,Triconia,umerus,361551,1,0.56556
762,Bivalve,NON-COPEPOD,Mollusc,(null),(null),105,4,0.56556
762,Cavoliniidae shell,NON-COPEPOD,Mollusc,(null),(null),23000,1,0.56556
762,Fritillaria pellucida,NON-COPEPOD,Appendicularian,Fritillaria,pellucida,103386,2,0.56556
762,Globigerinidae,NON-COPEPOD,Foraminifera,(null),(null),111929,3,0.56556
749,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,78,1.13112
749,Podon intermedius f,NON-COPEPOD,Cladoceran,Podon,intermedius,106276,1,1.13112
762,Polychaete larvae,NON-COPEPOD,Polychaete,(null),(null),883,3,0.56556
757,Clausocalanus spp. j,COPEPOD,Copepod,Clausocalanus,spp.,104161,2,0.28278
757,Oncaea spp. j,COPEPOD,Copepod,Oncaea,spp.,128690,4,0.28278
755,Fish j,NON-COPEPOD,Fish,(null),(null),11676,1,0.84834
755,Nyctiphanes australis FII,NON-COPEPOD,Euphausiid,Nyctiphanes,australis,237863,3,2.54502
757,Lucifer spp. mysis,NON-COPEPOD,Decapod,Lucifer,spp.,106827,1,0.28278
785,Euterpina acutifrons m,COPEPOD,Copepod,Euterpina,acutifrons,116162,3,0.311058
785,Oithona nana f,COPEPOD,Copepod,Oithona,nana,106651,1,0.311058
785,Paracalanus aculeatus m,COPEPOD,Copepod,Paracalanus,aculeatus,104681,1,0.311058
785,Cavoliniidae shell,NON-COPEPOD,Mollusc,(null),(null),23000,3,0.311058
785,Chaetognatha,NON-COPEPOD,Chaetognath,(null),(null),2081,2,0.311058
785,Fritillaria haplostoma,NON-COPEPOD,Appendicularian,Fritillaria,haplostoma,103382,1,0.311058
785,Radiozoa,NON-COPEPOD,Radiozoa,(null),(null),196831,1,0.311058
785,Salpidae,NON-COPEPOD,Thaliacean,(null),(null),137217,2,0.311058
768,Microsetella spp. f,COPEPOD,Copepod,Microsetella,spp.,115341,4,0.1922904
768,Bivalve,NON-COPEPOD,Mollusc,(null),(null),105,240,0.1922904
772,Delibus nudus f,COPEPOD,Copepod,Delibus,nudus,363905,2,0.56556
772,Oithona similis f,COPEPOD,Copepod,Oithona,similis,106656,2,0.56556
772,Oncaea media f,COPEPOD,Copepod,Oncaea,media,128938,2,0.56556
772,Oncaea spp. m 0.4<>0.7mm,COPEPOD,Copepod,Oncaea,spp.,128690,1,0.56556
772,Oncaea spp. m <0.4mm,COPEPOD,Copepod,Oncaea,spp.,128690,1,0.56556
772,Oncaea zernovi complex f,COPEPOD,Copepod,Oncaea,zernovi complex,128955,2,0.56556
772,Creseis spp.,NON-COPEPOD,Mollusc,Creseis,spp.,137752,2,0.56556
772,Doliolum nationalis,NON-COPEPOD,Thaliacean,Doliolum,nationalis,137247,2,0.56556
772,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),103354,1,0.56556
772,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,1,0.56556
772,Pluteus larva,NON-COPEPOD,Echinoderm,(null),(null),1806,1,0.56556
786,Acartia spp. j,COPEPOD,Copepod,Acartia,spp.,104108,4,0.254502
786,Clausocalanus furcatus f,COPEPOD,Copepod,Clausocalanus,furcatus,104503,5,0.509004
786,Microsetella rosea m,COPEPOD,Copepod,Microsetella,rosea,116116,2,0.509004
786,Corycaeus speciosus f,COPEPOD,Copepod,Corycaeus,speciosus,128800,1,0.254502
786,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,2,0.509004
786,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,128691,2,0.254502
786,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),146142,1,0.254502
753,Calocalanus pavo f,COPEPOD,Copepod,Calocalanus,pavo,104669,1,1.13112
753,Clausocalanus jobei f (>1.2mm),COPEPOD,Copepod,Clausocalanus,jobei,104504,1,1.13112
753,Ditrichocorycaeus lubbocki f,COPEPOD,Copepod,Ditrichocorycaeus,lubbocki,128807,1,1.13112
753,Mecynocera clausi f,COPEPOD,Copepod,Mecynocera,clausi,104616,1,1.13112
753,Microsetella rosea m,COPEPOD,Copepod,Microsetella,rosea,116116,1,1.13112
753,Nauplii poecilostomatoida / cyclopoid,COPEPOD,Copepod,(null),(null),1103,17,1.13112
753,Noctiluca scintillans,NOCTILUCA,Noctilucaceae,Noctiluca,scintillans,109921,13,1.13112
753,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,2,1.13112
786,Limacina,NON-COPEPOD,Mollusc,Limacina,spp.,138122,2,0.254502
786,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),103356,18,0.254502
771,Clausocalanus furcatus f,COPEPOD,Copepod,Clausocalanus,furcatus,104503,4,1.244232
771,Delibus nudus f,COPEPOD,Copepod,Delibus,nudus,363905,4,1.244232
771,Microsetella norvegica m,COPEPOD,Copepod,Microsetella,norvegica,116115,3,1.244232
771,Calanoid j,COPEPOD,Copepod,(null),(null),1100,74,0.622116
771,Flaccisagitta enflata,NON-COPEPOD,Chaetognath,Flaccisagitta,enflata,105434,1,0.622116
771,Rhabdonella spiralis,NON-COPEPOD,Ciliophora,Rhabdonella,spiralis,235763,2,0.622116
776,Oithona decipiens/similis f,COPEPOD,Copepod,Oithona,decipiens/similis,106485,5,1.018008
776,Oncaea zernovi complex f,COPEPOD,Copepod,Oncaea,zernovi complex,128955,3,1.018008
776,Paracalanus aculeatus f,COPEPOD,Copepod,Paracalanus,aculeatus,104681,1,0.509004
776,Oithona spp. j,COPEPOD,Copepod,Oithona,spp.,106485,26,0.509004
795,Nauplii calanoid,COPEPOD,Copepod,(null),(null),1100,58,1.13112
795,Cavoliniidae body,NON-COPEPOD,Mollusc,(null),(null),23000,42,1.13112
795,Chaetognatha,NON-COPEPOD,Chaetognath,(null),(null),2081,4,1.13112
776,Oncaea media f,COPEPOD,Copepod,Oncaea,media,128938,1,0.509004
795,Polychaete larvae,NON-COPEPOD,Polychaete,(null),(null),883,2,0.56556
776,Temora turbinata m,COPEPOD,Copepod,Temora,turbinata,104880,1,0.509004
776,Penilia avirostris f gravid,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,4,0.509004
764,Acartia spp. j,COPEPOD,Copepod,Acartia,spp.,104108,1,4.2417
764,Calanus australis f,COPEPOD,Copepod,Calanus,australis,345760,1,4.2417
764,Clausocalanus jobei f (>1.2mm),COPEPOD,Copepod,Clausocalanus,jobei,104504,21,4.2417
764,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,104509,45,4.2417
764,Clausocalanus spp. m,COPEPOD,Copepod,Clausocalanus,spp.,104161,4,4.2417
807,Haloptilus spp. j,COPEPOD,Copepod,Haloptilus,spp.,104140,1,0.56556
807,Microsetella norvegica f,COPEPOD,Copepod,Microsetella,norvegica,116115,1,0.56556
807,Oithona decipiens/similis f,COPEPOD,Copepod,Oithona,decipiens/similis,106485,3,1.13112
807,Oithona spp. j,COPEPOD,Copepod,Oithona,spp.,106485,42,0.56556
764,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),146142,2,4.2417
764,Chaetognatha,NON-COPEPOD,Chaetognath,(null),(null),2081,2,4.2417
807,Oncaea spp. m 0.4<>0.7mm,COPEPOD,Copepod,Oncaea,spp.,128690,5,1.13112
807,Paracalanus indicus f,COPEPOD,Copepod,Paracalanus,indicus,104683,4,1.13112
807,Doliolum nationalis,NON-COPEPOD,Thaliacean,Doliolum,nationalis,137247,26,0.56556
807,Fritillaria pellucida,NON-COPEPOD,Appendicularian,Fritillaria,pellucida,103386,4,0.56556
779,Clausocalanus furcatus f,COPEPOD,Copepod,Clausocalanus,furcatus,104503,3,0.254502
779,Clausocalanus spp. m,COPEPOD,Copepod,Clausocalanus,spp.,104161,1,0.254502
779,Eucalanidae j,COPEPOD,Copepod,(null),(null),104085,3,0.254502
779,Oncaea clevei f,COPEPOD,Copepod,Oncaea,clevei,354022,2,0.254502
779,Oncaea media f,COPEPOD,Copepod,Oncaea,media,128938,1,0.254502
809,Clausocalanus spp. m,COPEPOD,Copepod,Clausocalanus,spp.,104161,1,0.56556
809,Microsetella norvegica f,COPEPOD,Copepod,Microsetella,norvegica,116115,14,0.56556
809,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,5,0.56556
809,Oncaea zernovi complex f,COPEPOD,Copepod,Oncaea,zernovi complex,128955,3,0.56556
809,Temora turbinata f,COPEPOD,Copepod,Temora,turbinata,104880,3,0.56556
794,Oithona spp. j,COPEPOD,Copepod,Oithona,spp.,106485,20,2.54502
794,Bivalve,NON-COPEPOD,Mollusc,(null),(null),105,11,2.54502
794,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),103356,9,2.54502
794,Prosobranch,NON-COPEPOD,Mollusc,(null),(null),102,4,2.54502
809,Bivalve,NON-COPEPOD,Mollusc,(null),(null),105,2,0.56556
809,Fritillaria pellucida,NON-COPEPOD,Appendicularian,Fritillaria,pellucida,103386,1,0.56556
809,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),103356,9,0.56556
809,Podon intermedius,NON-COPEPOD,Cladoceran,Podon,intermedius,106276,3,0.56556
816,Corycaeidae j,COPEPOD,Copepod,(null),(null),128569,5,0.622116
816,Nauplii calanoid,COPEPOD,Copepod,(null),(null),1100,89,0.622116
816,Oithona nana f,COPEPOD,Copepod,Oithona,nana,106651,18,0.622116
816,Oithona plumifera f,COPEPOD,Copepod,Oithona,plumifera,106652,4,0.622116
816,Paracalanus indicus f,COPEPOD,Copepod,Paracalanus,indicus,104683,1,0.622116
816,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),146142,1,0.622116
816,Cavoliniidae shell,NON-COPEPOD,Mollusc,(null),(null),23000,3,0.622116
816,Creseis spp.,NON-COPEPOD,Mollusc,Creseis,spp.,137752,4,0.622116
816,Magelona spp.,NON-COPEPOD,Polychaete,Magelona,spp.,129341,1,0.622116
816,Siphonophore / nectophore,NON-COPEPOD,Cnidarian,(null),(null),1371,1,0.622116
770,Calanoid j,COPEPOD,Copepod,(null),(null),1100,45,22.05684
770,Centropages bradyi m,COPEPOD,Copepod,Centropages,bradyi,104491,1,8.4834
744,Paracalanus aculeatus f,COPEPOD,Copepod,Paracalanus,aculeatus,104681,1,0.2940912
744,Paracalanus indicus m,COPEPOD,Copepod,Paracalanus,indicus,104683,1,0.2940912
770,Nyctiphanes australis,NON-COPEPOD,Euphausiid,Nyctiphanes,australis,237863,1,8.4834
770,Polychaete larvae,NON-COPEPOD,Polychaete,(null),(null),883,1,13.57344
777,Canthocalanus pauper f,COPEPOD,Copepod,Canthocalanus,pauper,220834,1,0.254502
777,Farranula spp. m,COPEPOD,Copepod,Farranula,spp.,128636,1,0.254502
777,Oithona similis f,COPEPOD,Copepod,Oithona,similis,106656,3,0.254502
777,Paroithona spp. f,COPEPOD,Copepod,Paroithona,spp.,106486,1,0.254502
778,Acartia (Acanthacartia) fossae m,COPEPOD,Copepod,Acartia (Acanthacartia),fossae,345933,1,0.254502
791,Acrocalanus gibber f,COPEPOD,Copepod,Acrocalanus,gibber,104645,1,0.1809792
791,Euterpina acutifrons j,COPEPOD,Copepod,Euterpina,acutifrons,116162,4,0.1809792
791,Microsetella spp. f,COPEPOD,Copepod,Microsetella,spp.,115341,4,0.1809792
791,Oithona attenuata stocky f,COPEPOD,Copepod,Oithona,attenuata stocky,220944,12,0.1809792
791,Oithona spp. j,COPEPOD,Copepod,Oithona,spp.,106485,40,0.1809792
791,Echinospira larva,NON-COPEPOD,Mollusc,(null),(null),101,1,0.1809792
791,Prosobranch,NON-COPEPOD,Mollusc,(null),(null),102,16,0.1809792
778,Euterpina acutifrons f,COPEPOD,Copepod,Euterpina,acutifrons,116162,3,0.254502
778,Nauplii calanoid,COPEPOD,Copepod,(null),(null),1100,38,0.254502
777,Temora spp. j,COPEPOD,Copepod,Temora,spp.,104241,4,0.254502
777,Chaetognatha,NON-COPEPOD,Chaetognath,(null),(null),2081,6,0.254502
777,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),103356,17,0.254502
782,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,1,0.28278
782,Oithona spp. j,COPEPOD,Copepod,Oithona,spp.,106485,62,0.28278
782,Oncaea clevei complex,COPEPOD,Copepod,Oncaea,clevei complex,354022,2,0.28278
782,Oncaea spp. j,COPEPOD,Copepod,Oncaea,spp.,128690,3,0.28278
782,Creseis spp.,NON-COPEPOD,Mollusc,Creseis,spp.,137752,1,0.28278
782,Siphonophore / nectophore,NON-COPEPOD,Cnidarian,(null),(null),1371,1,0.28278
802,Eucalanidae j,COPEPOD,Copepod,(null),(null),104085,1,0.622116
778,Oncaea venusta typica f,COPEPOD,Copepod,Oncaea,venusta typica,363803,1,0.254502
778,Onychocorycaeus catus f,COPEPOD,Copepod,Onychocorycaeus,catus,128816,1,0.254502
778,Parvocalanus crassirostris f,COPEPOD,Copepod,Parvocalanus,crassirostris,360051,5,0.254502
778,Temora spp. j,COPEPOD,Copepod,Temora,spp.,104241,11,0.254502
778,Barnacle cyprid,NON-COPEPOD,Cirripedia,(null),(null),1082,1,0.254502
778,Euconchoecia spp.,NON-COPEPOD,Ostracod,Euconchoecia,spp.,127538,4,0.254502
778,Nauplii euphausiid,NON-COPEPOD,Euphausiid,(null),(null),110671,1,0.254502
802,Oithona plumifera f,COPEPOD,Copepod,Oithona,plumifera,106652,1,0.622116
802,Oithona similis f,COPEPOD,Copepod,Oithona,similis,106656,2,0.622116
802,Oithona spp. j,COPEPOD,Copepod,Oithona,spp.,106485,33,0.622116
802,Oncaea venusta typica f,COPEPOD,Copepod,Oncaea,venusta typica,363803,2,0.622116
802,Paracalanus indicus m,COPEPOD,Copepod,Paracalanus,indicus,104683,2,0.622116
802,Temora turbinata f,COPEPOD,Copepod,Temora,turbinata,104880,2,0.622116
802,Barnacle nauplii,NON-COPEPOD,Cirripedia,(null),(null),1082,1,0.622116
802,Doliolum nationalis,NON-COPEPOD,Thaliacean,Doliolum,nationalis,137247,3,0.622116
802,Doliolum spp.,NON-COPEPOD,Thaliacean,Doliolum,spp.,137222,2,0.622116
802,Eutintinnus spp.,NON-COPEPOD,Ciliophora,Eutintinnus,spp.,183543,1,0.622116
835,Centropages bradyi j,COPEPOD,Copepod,Centropages,bradyi,104491,1,0.84834
835,Farranula spp. m,COPEPOD,Copepod,Farranula,spp.,128636,4,0.84834
817,Acartia (Acartiura) tranteri m,COPEPOD,Copepod,Acartia (Acartiura),tranteri,346042,6,0.84834
817,Nannocalanus minor f,COPEPOD,Copepod,Nannocalanus,minor,104469,2,0.84834
817,Nauplii calanoid,COPEPOD,Copepod,(null),(null),1100,19,0.84834
817,Nauplii harpacticoid,COPEPOD,Copepod,(null),(null),1102,1,0.84834
834,Acartia (Acartiura) tranteri m,COPEPOD,Copepod,Acartia (Acartiura),tranteri,346042,9,4.2417
834,Acartia spp. j,COPEPOD,Copepod,Acartia,spp.,104108,1,4.2417
834,Clausocalanus jobei f (>1.2mm),COPEPOD,Copepod,Clausocalanus,jobei,104504,1,4.2417
805,Oithona decipiens/similis f,COPEPOD,Copepod,Oithona,decipiens/similis,106485,4,0.5881824
835,Nauplii calanoid,COPEPOD,Copepod,(null),(null),1100,12,0.84834
828,Acartia (Acanthacartia) tonsa m,COPEPOD,Copepod,Acartia (Acanthacartia),tonsa,345943,1,0.5203152
817,Globigerinidae,NON-COPEPOD,Foraminifera,(null),(null),111929,18,0.84834
828,Acrocalanus gibber f,COPEPOD,Copepod,Acrocalanus,gibber,104645,4,0.5203152
828,Temora spp. j,COPEPOD,Copepod,Temora,spp.,104241,6,0.5203152
828,Noctiluca scintillans,NOCTILUCA,Noctilucaceae,Noctiluca,scintillans,109921,4,0.5203152
828,Amphipod,NON-COPEPOD,Amphipod,(null),(null),1135,1,0.5203152
828,Brachyuran zoea,NON-COPEPOD,Decapod,(null),(null),106673,2,0.5203152
828,Doliolum spp.,NON-COPEPOD,Thaliacean,Doliolum,spp.,137222,1,0.5203152
828,Penilia avirostris,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,98,0.5203152
835,Oncaea venusta complex m,COPEPOD,Copepod,Oncaea,venusta complex,128954,21,0.84834
835,Paracalanus indicus m,COPEPOD,Copepod,Paracalanus,indicus,104683,2,0.84834
835,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),146142,1,0.84834
835,Clytia spp.,NON-COPEPOD,Cnidarian,Clytia,spp.,117030,5,0.84834
835,Doliolum nationalis,NON-COPEPOD,Thaliacean,Doliolum,nationalis,137247,36,0.84834
835,Euphausiid furcilia larvae,NON-COPEPOD,Euphausiid,(null),(null),110671,1,0.84834
835,Evadne nordmanni f,NON-COPEPOD,Cladoceran,Evadne,nordmanni,106273,7,0.84834
835,Prosobranch,NON-COPEPOD,Mollusc,(null),(null),102,6,0.84834
822,Calocalanus pavo f,COPEPOD,Copepod,Calocalanus,pavo,104669,1,0.5542488
822,Canthocalanus pauper f,COPEPOD,Copepod,Canthocalanus,pauper,220834,1,0.5542488
822,Spinoncaea spp. f,COPEPOD,Copepod,Spinoncaea,spp.,348050,2,0.5542488
822,Cavoliniidae shell,NON-COPEPOD,Mollusc,(null),(null),23000,1,0.5542488
822,Doliolum spp.,NON-COPEPOD,Thaliacean,Doliolum,spp.,137222,4,0.5542488
787,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,2,0.622116
787,Oncaea clevei f,COPEPOD,Copepod,Oncaea,clevei,354022,1,0.311058
812,Microsetella norvegica f,COPEPOD,Copepod,Microsetella,norvegica,116115,1,0.1470456
812,Oithona simplex f,COPEPOD,Copepod,Oithona,simplex,106657,5,0.1470456
812,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),103356,13,0.1470456
812,Prosobranch,NON-COPEPOD,Mollusc,(null),(null),102,22,0.1470456
727,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,2,0.622116
727,Euterpina acutifrons f,COPEPOD,Copepod,Euterpina,acutifrons,116162,1,0.622116
727,Lubbockia spp. j,COPEPOD,Copepod,Lubbockia,spp.,128672,1,0.622116
727,Microsetella norvegica f,COPEPOD,Copepod,Microsetella,norvegica,116115,1,0.622116
727,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,4,0.622116
727,Oncaea scottodicarloi f,COPEPOD,Copepod,Oncaea,scottodicarloi,128950,1,0.622116
727,Bivalve,NON-COPEPOD,Mollusc,(null),(null),105,10,0.622116
727,Cavoliniidae shell,NON-COPEPOD,Mollusc,(null),(null),23000,69,0.622116
727,Creseis spp.,NON-COPEPOD,Mollusc,Creseis,spp.,137752,24,0.622116
727,Ctenophore,NON-COPEPOD,Ctenophore,(null),(null),1248,1,0.622116
727,Fritillaria pellucida,NON-COPEPOD,Appendicularian,Fritillaria,pellucida,103386,2,0.622116
792,Calanoid j,COPEPOD,Copepod,(null),(null),1100,124,1.13112
792,Clausocalanus parapergens f,COPEPOD,Copepod,Clausocalanus,parapergens,104507,1,1.13112
792,Clausocalanus spp. m,COPEPOD,Copepod,Clausocalanus,spp.,104161,2,1.13112
792,Euterpina acutifrons j,COPEPOD,Copepod,Euterpina,acutifrons,116162,13,1.13112
792,Oithona spp. j,COPEPOD,Copepod,Oithona,spp.,106485,96,1.13112
792,Oncaea waldemari f,COPEPOD,Copepod,Oncaea,waldemari,360846,19,1.13112
792,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),146142,2,1.13112
792,Caridea megalopa larvae,NON-COPEPOD,Decapod,(null),(null),106674,1,1.13112
761,Ditrichocorycaeus andrewsi m,COPEPOD,Copepod,Ditrichocorycaeus,andrewsi,128804,7,0.1922904
761,Ditrichocorycaeus spp.,COPEPOD,Copepod,Ditrichocorycaeus,spp.,128635,1,0.1922904
761,Oithona attenuata f,COPEPOD,Copepod,Oithona,attenuata,220944,1,0.1922904
761,Caridea zoea,NON-COPEPOD,Decapod,(null),(null),106674,2,0.1922904
761,Cavoliniidae shell,NON-COPEPOD,Mollusc,(null),(null),23000,2,0.1922904
774,Euchaeta spp. j,COPEPOD,Copepod,Euchaeta,spp.,104174,1,0.56556
774,Spinoncaea spp. f,COPEPOD,Copepod,Spinoncaea,spp.,348050,1,0.56556
774,Siphonophore / nectophore,NON-COPEPOD,Cnidarian,(null),(null),1371,1,0.56556
774,Fritillaria borealis,NON-COPEPOD,Appendicularian,Fritillaria,borealis,103375,5,0.28278
751,Eucalanidae j,COPEPOD,Copepod,(null),(null),104085,1,0.1809792
751,Oithona attenuata f,COPEPOD,Copepod,Oithona,attenuata,220944,3,0.1809792
751,Oithona simplex f,COPEPOD,Copepod,Oithona,simplex,106657,34,0.1809792
751,Limacina,NON-COPEPOD,Mollusc,Limacina,spp.,138122,2,0.1809792
751,Prosobranch,NON-COPEPOD,Mollusc,(null),(null),102,9,0.1809792
787,Calanoid j,COPEPOD,Copepod,(null),(null),1100,29,0.311058
787,Euterpina acutifrons j,COPEPOD,Copepod,Euterpina,acutifrons,116162,2,0.311058
796,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,1,2.26224
805,Corycaeus clausi f,COPEPOD,Copepod,Corycaeus,clausi,128798,1,0.2940912
805,Microsetella rosea f,COPEPOD,Copepod,Microsetella,rosea,116116,1,0.2940912
805,Limacina,NON-COPEPOD,Mollusc,Limacina,spp.,138122,4,0.2940912
767,Calocalanus spp. j,COPEPOD,Copepod,Calocalanus,spp.,104193,3,0.622116
767,Candacia spp. j,COPEPOD,Copepod,Candacia,spp.,104157,1,0.622116
767,Eucalanidae j,COPEPOD,Copepod,(null),(null),104085,1,0.622116
787,Nauplii calanoid,COPEPOD,Copepod,(null),(null),1100,40,0.311058
767,Farranula spp. m,COPEPOD,Copepod,Farranula,spp.,128636,2,0.622116
767,Lucicutia flavicornis m,COPEPOD,Copepod,Lucicutia,flavicornis,104597,1,0.622116
767,Microsetella norvegica m,COPEPOD,Copepod,Microsetella,norvegica,116115,2,0.622116
767,Oncaea zernovi complex f,COPEPOD,Copepod,Oncaea,zernovi complex,128955,1,0.622116
767,Prosobranch,NON-COPEPOD,Mollusc,(null),(null),102,2,0.622116
805,Ostracod,NON-COPEPOD,Ostracod,(null),(null),1078,12,0.2940912
797,Acartia (Acartiura) tranteri m,COPEPOD,Copepod,Acartia (Acartiura),tranteri,346042,7,2.26224
797,Nauplii poecilostomatoida / cyclopoid,COPEPOD,Copepod,(null),(null),1103,3,2.26224
797,Oithona spp. j,COPEPOD,Copepod,Oithona,spp.,106485,5,2.26224
797,Noctiluca scintillans,NOCTILUCA,Noctilucaceae,Noctiluca,scintillans,109921,508,2.26224
796,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,7,2.26224
796,Oncaea spp. m 0.4<>0.7mm,COPEPOD,Copepod,Oncaea,spp.,128690,5,2.26224
796,Temora turbinata f,COPEPOD,Copepod,Temora,turbinata,104880,2,2.26224
796,Bivalve,NON-COPEPOD,Mollusc,(null),(null),105,3,2.26224
