TRIP_CODE,TAXON_NAME,TAXON_GROUP,TAXON_GRP01,GENUS,SPECIES,SPCODE,ZOOP_ABUNDANCE_M3
ROT20110826,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,7.8585
MAI20120412,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,0.442
KAI20111219,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,4.0415
YON20120918,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,10.2009
NIN20130209,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,42.4358
NSI20130418,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,14.6964
PHB20120917,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,3.0311
YON20130220,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,74.8067
PHB20121218,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,8.8408
ROT20120727,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,55.0094
NSI20140213,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,5.5111
PHB20140317,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,19.4497
NSI20140901,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,36.0061
PHB20140427,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,17.6816
ROT20140624,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,39.2924
PHB20160615,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,3.5363
ROT20150724,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,7.8585
YON20150923,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,16.3215
YON20141209,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,6.8006
KAI20150909,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,7.0726
ROT20150827,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,12.5736
YON20160725,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,2.2669
NSI20170627,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,25.7187
YON20170528,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,14.1453
NSI20170717,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,12.8593
PHB20170614,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,28.2905
PHB20170321,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,28.2905
PHB20170419,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,49.5085
ROT20170428,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,7.8585
YON20170816,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,5.6581
PHB20180123,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,7.0726
DAR20180209_0030,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,43.6582
ROT20170914,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,31.4339
NSI20180817,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,25.7187
PHB20180724,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,21.2179
ROT20181211,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,15.717
KAI20190514,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,7.0726
IIOE20190526,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,28.2905
IIOE20190607,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,17.6816
YON20190703,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,16.3215
YON20190124,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,7.0726
ROT20200825,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,35.3632
PHB20200812,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,2.978
PHB20200831,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,1.4145
ROT20191218,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,15.717
NSI20200720,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,45.0077
YON20200306,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,217.6196
KAI20200527,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,63.6537
NSI20201116,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,51.4374
ROT20201013,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,35.3632
NIN20101108,Acartia (Acanthacartia) tonsa m,COPEPOD,Copepod,Acartia (Acanthacartia),tonsa,345943,17.6816
ROT20110923,Acartia (Acanthacartia) tonsa m,COPEPOD,Copepod,Acartia (Acanthacartia),tonsa,345943,11.7877
ROT20111122,Acartia (Acanthacartia) tonsa m,COPEPOD,Copepod,Acartia (Acanthacartia),tonsa,345943,23.5755
ROT20130221,Acartia (Acanthacartia) tonsa m,COPEPOD,Copepod,Acartia (Acanthacartia),tonsa,345943,3.9292
ESP20120612,Acartia (Acanthacartia) tonsa m,COPEPOD,Copepod,Acartia (Acanthacartia),tonsa,345943,7.8585
ROT20121219,Acartia (Acanthacartia) tonsa m,COPEPOD,Copepod,Acartia (Acanthacartia),tonsa,345943,47.1509
KAI20120415,Acartia (Acanthacartia) tonsa m,COPEPOD,Copepod,Acartia (Acanthacartia),tonsa,345943,1.7682
PHB20110914,Euchaeta rimana m,COPEPOD,Copepod,Euchaeta,rimana,346444,1.7682
KAI20120215,Oncaea venusta venella no hump f,COPEPOD,Copepod,Oncaea,venusta venella no hump,363588,5.0519
PHB20130422,Oncaea venusta venella no hump f,COPEPOD,Copepod,Oncaea,venusta venella no hump,363588,11.1141
PHB20100218,Oncaea venusta venella no hump f,COPEPOD,Copepod,Oncaea,venusta venella no hump,363588,2.3575
ROT20120504,Oncaea venusta venella no hump f,COPEPOD,Copepod,Oncaea,venusta venella no hump,363588,23.5755
PHB20190827,Oncaea venusta venella no hump f,COPEPOD,Copepod,Oncaea,venusta venella no hump,363588,3.5363
YON20121219,Centropages furcatus j,COPEPOD,Copepod,Centropages,furcatus,104495,13.6012
YON20130131,Centropages furcatus j,COPEPOD,Copepod,Centropages,furcatus,104495,176.8159
NSI20180123,Centropages furcatus j,COPEPOD,Copepod,Centropages,furcatus,104495,6.4297
YON20180130,Centropages furcatus j,COPEPOD,Copepod,Centropages,furcatus,104495,40.8037
NSI20190821,Centropages furcatus j,COPEPOD,Copepod,Centropages,furcatus,104495,5.1437
YON20200422,Centropages furcatus j,COPEPOD,Copepod,Centropages,furcatus,104495,54.4049
YON20201120,Centropages furcatus j,COPEPOD,Copepod,Centropages,furcatus,104495,14.1453
YON20200926,Centropages furcatus j,COPEPOD,Copepod,Centropages,furcatus,104495,21.2179
NSI20180320,Temora discaudata j,COPEPOD,Copepod,Temora,discaudata,220898,6.4297
PHB20100817,Corycaeus crassiusculus m,COPEPOD,Copepod,Corycaeus,crassiusculus,128799,3.5363
MAI20120724,Corycaeus crassiusculus m,COPEPOD,Copepod,Corycaeus,crassiusculus,128799,0.52
MAI20140703,Corycaeus crassiusculus m,COPEPOD,Copepod,Corycaeus,crassiusculus,128799,0.3929
PHB20190729,Corycaeus crassiusculus m,COPEPOD,Copepod,Corycaeus,crassiusculus,128799,3.5363
PHB20191216,Corycaeus crassiusculus m,COPEPOD,Copepod,Corycaeus,crassiusculus,128799,3.5363
ROT20091222,Clausocalanus farrani f (<1.00mm),COPEPOD,Copepod,Clausocalanus,farrani,220843,2.2453
NSI20101215,Clausocalanus farrani f (<1.00mm),COPEPOD,Copepod,Clausocalanus,farrani,220843,38.578
MAI20110118,Clausocalanus farrani f (<1.00mm),COPEPOD,Copepod,Clausocalanus,farrani,220843,81.3353
NSI20110915,Clausocalanus farrani f (<1.00mm),COPEPOD,Copepod,Clausocalanus,farrani,220843,3.2148
MAI20110812,Clausocalanus farrani f (<1.00mm),COPEPOD,Copepod,Clausocalanus,farrani,220843,8.5461
NSI20111116,Clausocalanus farrani f (<1.00mm),COPEPOD,Copepod,Clausocalanus,farrani,220843,3.2148
MAI20130821,Clausocalanus farrani f (<1.00mm),COPEPOD,Copepod,Clausocalanus,farrani,220843,0.2009
PHB20100218,Clausocalanus farrani f (<1.00mm),COPEPOD,Copepod,Clausocalanus,farrani,220843,2.3575
ROT20131017,Clausocalanus farrani f (<1.00mm),COPEPOD,Copepod,Clausocalanus,farrani,220843,7.8585
PHB20140716,Clausocalanus farrani f (<1.00mm),COPEPOD,Copepod,Clausocalanus,farrani,220843,10.609
PHB20141021,Clausocalanus farrani f (<1.00mm),COPEPOD,Copepod,Clausocalanus,farrani,220843,3.5363
NSI20141107,Clausocalanus farrani f (<1.00mm),COPEPOD,Copepod,Clausocalanus,farrani,220843,3.2148
PHB20150330,Clausocalanus farrani f (<1.00mm),COPEPOD,Copepod,Clausocalanus,farrani,220843,3.5363
ROT20170120,Clausocalanus farrani f (<1.00mm),COPEPOD,Copepod,Clausocalanus,farrani,220843,14.1453
KAI20171129,Clausocalanus farrani f (<1.00mm),COPEPOD,Copepod,Clausocalanus,farrani,220843,7.0726
NSI20180530,Clausocalanus farrani f (<1.00mm),COPEPOD,Copepod,Clausocalanus,farrani,220843,3.2148
ROT20190819,Clausocalanus farrani f (<1.00mm),COPEPOD,Copepod,Clausocalanus,farrani,220843,7.6876
PHB20170821,Copilia spp. j,COPEPOD,Copepod,Copilia,spp.,128721,7.0726
NSI20100214,Onychocorycaeus ovalis f,COPEPOD,Copepod,Onychocorycaeus,ovalis,128819,6.4297
YON20090909,Ditrichocorycaeus asiaticus m,COPEPOD,Copepod,Ditrichocorycaeus,asiaticus,358328,31.7362
DAR20120417,Ditrichocorycaeus asiaticus m,COPEPOD,Copepod,Ditrichocorycaeus,asiaticus,358328,44.204
PHB20140515,Ditrichocorycaeus asiaticus m,COPEPOD,Copepod,Ditrichocorycaeus,asiaticus,358328,1.4145
YON20140624,Ditrichocorycaeus asiaticus m,COPEPOD,Copepod,Ditrichocorycaeus,asiaticus,358328,3.8861
ROT20140919,Ditrichocorycaeus asiaticus m,COPEPOD,Copepod,Ditrichocorycaeus,asiaticus,358328,5.239
NSI20130819,Triconia dentipes complex f,COPEPOD,Copepod,Triconia,dentipes complex,128958,1.6074
NSI20131016,Triconia dentipes complex f,COPEPOD,Copepod,Triconia,dentipes complex,128958,3.6741
ROT20141119,Triconia dentipes complex f,COPEPOD,Copepod,Triconia,dentipes complex,128958,11.7877
KAI20150408,Triconia dentipes complex f,COPEPOD,Copepod,Triconia,dentipes complex,128958,2.1218
ESP20111130,Clausocalanus farrani/jobei f (1.00mm>x<1.2mm),COPEPOD,Copepod,Clausocalanus,farrani/jobei,104504,15.717
YON20120604,Clausocalanus farrani/jobei f (1.00mm>x<1.2mm),COPEPOD,Copepod,Clausocalanus,farrani/jobei,104504,2.0925
NIN20120827,Clausocalanus farrani/jobei f (1.00mm>x<1.2mm),COPEPOD,Copepod,Clausocalanus,farrani/jobei,104504,11.3162
NSI20170117,Clausocalanus farrani/jobei f (1.00mm>x<1.2mm),COPEPOD,Copepod,Clausocalanus,farrani/jobei,104504,12.8593
YON20120402,Paroithona spp. f,COPEPOD,Copepod,Paroithona,spp.,106486,13.6012
NSI20120806,Paroithona spp. f,COPEPOD,Copepod,Paroithona,spp.,106486,6.4297
DAR20141130,Paroithona spp. f,COPEPOD,Copepod,Paroithona,spp.,106486,19.6462
ROT20160223,Paroithona spp. f,COPEPOD,Copepod,Paroithona,spp.,106486,39.2924
NSI20170516,Paroithona spp. f,COPEPOD,Copepod,Paroithona,spp.,106486,6.4297
PHB20190121,Paroithona spp. f,COPEPOD,Copepod,Paroithona,spp.,106486,7.0726
ROT20190621,Paroithona spp. f,COPEPOD,Copepod,Paroithona,spp.,106486,28.2905
ROT20181211,Paroithona spp. f,COPEPOD,Copepod,Paroithona,spp.,106486,31.4339
NSI20190618,Paroithona spp. f,COPEPOD,Copepod,Paroithona,spp.,106486,12.8593
NSI20190916,Paroithona spp. f,COPEPOD,Copepod,Paroithona,spp.,106486,12.8593
KAI20190909,Paroithona spp. f,COPEPOD,Copepod,Paroithona,spp.,106486,3.5363
NSI20201022,Paroithona spp. f,COPEPOD,Copepod,Paroithona,spp.,106486,9.6445
KAI20191127,Paroithona spp. f,COPEPOD,Copepod,Paroithona,spp.,106486,1.4145
NSI20200917,Paroithona spp. f,COPEPOD,Copepod,Paroithona,spp.,106486,6.4297
PHB20090422,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,2.8291
MAI20090506,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,7.3673
MAI20100120,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,2.9469
ROT20100315,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,21.6108
PHB20100817,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,21.2179
NSI20101115,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,6.4297
ROT20110125,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,14.1453
ROT20110224,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,2.2453
NSI20111013,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,19.289
MAI20110531,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,0.2105
KAI20111026,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,8.4872
NSI20120213,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,22.5038
NIN20110501,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,38.3943
ESP20110512,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,62.8679
ROT20110527,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,23.5755
ROT20111122,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,15.717
YON20111213,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,24.18
MAI20111026,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,2.9469
MAI20120326,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,2.6522
YON20120615,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,38.8606
DAR20130405,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,117.8773
NIN20130209,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,268.7602
NSI20130418,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,4.2864
YON20130808,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,13.6012
PHB20130514,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,0.2496
NIN20130509,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,120.2348
ROT20130517,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,3.9292
ROT20130125,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,3.9292
KAI20130423,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,7.0726
NIN20120827,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,101.846
DAR20130916,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,88.4079
NSI20130913,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,6.4297
NSI20131121,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,6.4297
NSI20131016,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,0.9185
NSI20140507,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,16.0742
NSI20140623,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,6.4297
PHB20140317,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,7.0726
ROT20131017,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,11.7877
ROT20131122,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,23.5755
NSI20140917,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,6.4297
NSI20141020,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,12.8593
DAR20140906_0030,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,157.1697
ROT20140519,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,31.4339
NSI20150119,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,12.8593
DAR20150203_0030,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,307.5059
ROT20150319,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,39.2924
ROT20140919,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,31.4339
ROT20141014,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,23.5755
YON20150324,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,65.2859
PHB20150819,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,5.3045
YON20150119,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,103.3693
MAI20151001,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,14.1453
KAI20150224,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,7.0726
YON20150224,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,394.4355
YON20150618,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,38.0834
ROT20160722,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,7.8585
ROT20161024,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,7.8585
NSI20160412,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,12.8593
YON20160321,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,176.8159
NSI20151216,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,12.8593
PHB20151115,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,7.0726
PHB20160407,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,23.5755
YON20170426,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,113.1622
NSI20170829,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,12.8593
KAI20170908,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,17.6816
PHB20180123,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,28.2905
PHB20170821,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,24.7542
MAI20180418,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,4.7151
ROT20170914,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,31.4339
ROT20171214,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,23.5755
YON20180927,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,63.6537
ROT20180921,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,18.8604
IIOE20190524,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,3.5363
IIOE20190526,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,3.5363
IIOE20190529,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,7.0726
IIOE20190607,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,10.609
DAR20200810,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,132.6119
YON20190826,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,31.8269
MAI20191210,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,18.8604
PHB20200520,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,0.7578
NSI20200917,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,51.4374
NSI20201116,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,64.2967
YON20201209,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,176.8159
MAI20200928,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,18.8604
MAI20100527,Farranula rostrata f,COPEPOD,Copepod,Farranula,rostrata,128814,3.5363
ROT20100416,Farranula rostrata f,COPEPOD,Copepod,Farranula,rostrata,128814,7.8585
MAI20140807,Farranula rostrata f,COPEPOD,Copepod,Farranula,rostrata,128814,0.442
MAI20150526,Farranula rostrata f,COPEPOD,Copepod,Farranula,rostrata,128814,1.5717
MAI20160209,Farranula rostrata f,COPEPOD,Copepod,Farranula,rostrata,128814,2.3575
MAI20151216,Farranula rostrata f,COPEPOD,Copepod,Farranula,rostrata,128814,7.0726
MAI20180315,Farranula rostrata f,COPEPOD,Copepod,Farranula,rostrata,128814,14.1453
IIOE20190520,Farranula rostrata f,COPEPOD,Copepod,Farranula,rostrata,128814,24.7542
PHB20190408,Farranula rostrata f,COPEPOD,Copepod,Farranula,rostrata,128814,7.0726
PHB20200630,Farranula rostrata f,COPEPOD,Copepod,Farranula,rostrata,128814,1.0104
KAI20200527,Farranula rostrata f,COPEPOD,Copepod,Farranula,rostrata,128814,28.2905
PHB20090518,Sapphirina ovatolanceolata / gemma m,COPEPOD,Copepod,Sapphirina,ovatolanceolata / gemma,129055,1.0104
MAI20140318,Sapphirina angusta m,COPEPOD,Copepod,Sapphirina,angusta,129041,2.3575
YON20170906,Sapphirina angusta m,COPEPOD,Copepod,Sapphirina,angusta,129041,14.1453
PHB20100817,Pontella spp.,COPEPOD,Copepod,Pontella,spp.,104209,3.5363
PHB20170821,Agetus flaccus f,COPEPOD,Copepod,Agetus,flaccus,128795,3.5363
PHB20100413,Pleuromamma gracilis f,COPEPOD,Copepod,Pleuromamma,gracilis,104639,3.5363
MAI20110812,Pleuromamma gracilis f,COPEPOD,Copepod,Pleuromamma,gracilis,104639,2.0629
MAI20150811,Pleuromamma gracilis f,COPEPOD,Copepod,Pleuromamma,gracilis,104639,7.8585
NSI20100520,Subeucalanus pileatus f,COPEPOD,Copepod,Subeucalanus,pileatus,104547,6.4297
NIN20110501,Subeucalanus pileatus f,COPEPOD,Copepod,Subeucalanus,pileatus,104547,6.0623
DAR20120114_2130,Subeucalanus pileatus f,COPEPOD,Copepod,Subeucalanus,pileatus,104547,41.12
PHB20180123,Subeucalanus pileatus f,COPEPOD,Copepod,Subeucalanus,pileatus,104547,7.0726
DAR20190214_0030,Subeucalanus pileatus f,COPEPOD,Copepod,Subeucalanus,pileatus,104547,10.4009
NSI20120213,Euchirella rostrata f,COPEPOD,Copepod,Euchirella,rostrata,104303,3.2148
DAR20121029,Euchaeta spp. m,COPEPOD,Copepod,Euchaeta,spp.,104174,1.786
YON20130515,Euchaeta spp. m,COPEPOD,Copepod,Euchaeta,spp.,104174,13.6012
NSI20190618,Oithona spp.,COPEPOD,Copepod,Oithona,spp.,106485,3.2148
YON20201120,Oithona spp.,COPEPOD,Copepod,Oithona,spp.,106485,7.0726
NSI20100817,Oncaea spp.,COPEPOD,Copepod,Oncaea,spp.,128690,6.4297
PHB20130514,Oncaea spp.,COPEPOD,Copepod,Oncaea,spp.,128690,0.5825
PHB20140911,Oncaea spp.,COPEPOD,Copepod,Oncaea,spp.,128690,3.6085
KAI20091215,Oncaea spp. f,COPEPOD,Copepod,Oncaea,spp.,128690,1.7682
PHB20121009,Oncaea spp. f,COPEPOD,Copepod,Oncaea,spp.,128690,0.7858
KAI20100419,Oncaea spp. m,COPEPOD,Copepod,Oncaea,spp.,128690,7.0726
NSI20100411,Oncaea spp. m,COPEPOD,Copepod,Oncaea,spp.,128690,35.3632
PHB20101110,Oncaea spp. m,COPEPOD,Copepod,Oncaea,spp.,128690,5.0519
PHB20101213,Oncaea spp. m,COPEPOD,Copepod,Oncaea,spp.,128690,14.1453
NSI20110727,Oncaea spp. m,COPEPOD,Copepod,Oncaea,spp.,128690,31.2298
PHB20110829,Oncaea spp. m,COPEPOD,Copepod,Oncaea,spp.,128690,14.1453
MAI20110725,Oncaea spp. m,COPEPOD,Copepod,Oncaea,spp.,128690,0.7367
PHB20110914,Oncaea spp. m,COPEPOD,Copepod,Oncaea,spp.,128690,12.3771
NSI20120213,Oncaea spp. m,COPEPOD,Copepod,Oncaea,spp.,128690,16.0742
ESP20110818,Oncaea spp. m,COPEPOD,Copepod,Oncaea,spp.,128690,13.0975
ROT20110826,Oncaea spp. m,COPEPOD,Copepod,Oncaea,spp.,128690,78.5848
ROT20111122,Oncaea spp. m,COPEPOD,Copepod,Oncaea,spp.,128690,94.3018
PHB20120311,Oncaea spp. m,COPEPOD,Copepod,Oncaea,spp.,128690,21.2179
PHB20130319,Oncaea spp. m,COPEPOD,Copepod,Oncaea,spp.,128690,3.3949
KAI20130506,Oncaea spp. m,COPEPOD,Copepod,Oncaea,spp.,128690,1.6974
YON20130515,Oncaea spp. m,COPEPOD,Copepod,Oncaea,spp.,128690,6.8006
PHB20100218,Oncaea spp. m,COPEPOD,Copepod,Oncaea,spp.,128690,58.9386
ROT20120824,Oncaea spp. m,COPEPOD,Copepod,Oncaea,spp.,128690,47.1509
NSI20121114,Oncaea spp. m,COPEPOD,Copepod,Oncaea,spp.,128690,32.1483
MAI20140205,Oncaea spp. m,COPEPOD,Copepod,Oncaea,spp.,128690,10.8571
ROT20131122,Oncaea spp. m,COPEPOD,Copepod,Oncaea,spp.,128690,39.2924
MAI20140122,Oncaea spp. m,COPEPOD,Copepod,Oncaea,spp.,128690,11.0019
YON20140820,Oncaea spp. m,COPEPOD,Copepod,Oncaea,spp.,128690,3.627
ROT20141216,Oncaea spp. m,COPEPOD,Copepod,Oncaea,spp.,128690,62.8679
ROT20140919,Oncaea spp. m,COPEPOD,Copepod,Oncaea,spp.,128690,36.6729
MAI20141208,Oncaea spp. m,COPEPOD,Copepod,Oncaea,spp.,128690,0.5525
ROT20100315,Paracalanus spp. m,COPEPOD,Copepod,Paracalanus,spp.,104196,3.9292
MAI20110118,Paracalanus spp. m,COPEPOD,Copepod,Paracalanus,spp.,104196,28.2905
MAI20110328,Paracalanus spp. m,COPEPOD,Copepod,Paracalanus,spp.,104196,1.4735
ROT20130125,Paracalanus spp. m,COPEPOD,Copepod,Paracalanus,spp.,104196,7.8585
ROT20150507,Paracalanus spp. m,COPEPOD,Copepod,Paracalanus,spp.,104196,23.5755
ROT20200605,Paracalanus spp. m,COPEPOD,Copepod,Paracalanus,spp.,104196,8.8408
DAR20141130,Pontellidae j,COPEPOD,Copepod,,,104097,19.6462
ROT20100416,Oithona Grp5 (orange furcae) f,COPEPOD,Copepod,Oithona,grp 5,106485,43.2217
MAI20140205,Pseudevadne tergestina f gravid,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,106278,9.3061
MAI20150421,Pseudevadne tergestina f gravid,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,106278,15.1556
KAI20170908,Pseudevadne tergestina f gravid,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,106278,3.5363
YON20101101,Onychocorycaeus giesbrechti m,COPEPOD,Copepod,Onychocorycaeus,giesbrechti,128817,1.6001
NSI20110727,Onychocorycaeus giesbrechti m,COPEPOD,Copepod,Onychocorycaeus,giesbrechti,128817,1.837
NIN20110706,Ctenophore,NON-COPEPOD,Ctenophore,,,1248,3.5363
YON20120816,Ctenophore,NON-COPEPOD,Ctenophore,,,1248,0.6045
PHB20140824,Ctenophore,NON-COPEPOD,Ctenophore,,,1248,1.7682
